player_id;fifa_version;name;age;height;weight;nationality_name;preferred_foot
226177;16.0;Rebecca Elizabeth Sauerbrunn;30;170;64;United States;Right
226293;16.0;Nadine Angerer;36;175;71;Germany;Right
226301;16.0;Alexandra Morgan Carrasco;25;170;62;United States;Left
226302;16.0;Alexandra Popp;24;174;65;Germany;Right
226303;16.0;Almuth Schult;24;180;71;Germany;Right
226304;16.0;Annike Krahn;30;172;60;Germany;Right
226305;16.0;Josephine Henning;25;175;68;Germany;Right
226306;16.0;Célia Šaši?;27;174;61;Germany;Right
226307;16.0;Simone Melanie Laudehr;28;174;56;Germany;Right
226308;16.0;Dzsenifer Marozsán;23;171;50;Germany;Right
226309;16.0;Jennifer Cramer;22;168;58;Germany;Left
226310;16.0;Melanie Behringer;29;170;67;Germany;Right
226311;16.0;Fatmire Alushi;27;168;55;Germany;Right
226312;16.0;Anja Mittag;30;168;58;Germany;Right
226313;16.0;Bianca Ursula Schmidt;25;174;64;Germany;Right
226315;16.0;Hope Solo;33;175;69;United States;Right
226316;16.0;Sydney Rae Leroux Dwyer;25;170;66;United States;Left
226317;16.0;Christie Rampone;40;168;64;United States;Right
226318;16.0;Kelley Maureen O'Hara;26;165;58;United States;Right
226319;16.0;Whitney Engen;27;173;56;United States;Right
226320;16.0;Morgan Gautrat;22;170;61;United States;Right
226322;16.0;Amy Rodriguez;28;163;66;United States;Right
226323;16.0;Heather O'Reilly;30;165;59;United States;Right
226324;16.0;Carli Anne Hollins;32;173;64;United States;Right
226325;16.0;Alexandra Blaire Krieger;30;168;60;United States;Right
226326;16.0;Lauren Holiday;27;173;70;United States;Right
226327;16.0;Christen Annemarie Press;26;170;59;United States;Right
226328;16.0;Megan Anna Rapinoe;29;170;60;United States;Left
226329;16.0;Meghan Elizabeth Klingenberg;26;158;57;United States;Right
226330;16.0;Tobin Powell Heath;27;168;59;United States;Left
226331;16.0;Ashlyn Michelle Harris;29;175;60;United States;Right
226333;16.0;Julie Beth Ertz;23;170;59;United States;Right
226334;16.0;Abby Wambach;35;180;81;United States;Right
226335;16.0;Alyssa Michele Naeher;27;175;60;United States;Right
226337;16.0;Lori Chalupny;31;163;55;United States;Left
226345;16.0;Shannon Boxx;38;173;64;United States;Right
226354;16.0;Melanie Leupolz;21;173;52;Germany;Right
226357;16.0;Cristiane Rozeira de Souza Silva;30;170;66;Brazil;Left
226358;16.0;Stephanie Jayne Houghton Darby;27;174;71;England;Right
226359;16.0;Christine Margaret Sinclair;32;175;67;Canada;Right
226360;16.0;??;20;162;52;China PR;Left
226362;16.0;Louisa Nécib;28;168;56;France;Right
226366;16.0;Maribel Guadalupe Domínguez Castelán;36;161;55;Mexico;Left
226368;16.0;Verónica Boquete Giadans;28;163;55;Spain;Right
226369;16.0;Lotta Eva Schelin;31;179;65;Sweden;Right
226373;16.0;Nadine Keßler;27;169;61;Germany;Right
226374;16.0;Lena Goeßling;29;171;56;Germany;Right
226880;16.0;Andréia Suntaque;37;176;64;Brazil;Right
226881;16.0;Fabiana da Silva Simões;26;162;57;Brazil;Right
226882;16.0;Bruna Beatriz Benites Soares;29;179;63;Brazil;Right
226883;16.0;Tayla Carolina Pereira dos Santos;23;173;58;Brazil;Right
226884;16.0;Maurine Dornelles Gonçalves;29;159;51;Brazil;Right
226885;16.0;Darlene De Souza Reguera;25;170;55;Brazil;Right
226886;16.0;Thaisa de Moraes Rosa Moreno;26;165;59;Brazil;Right
226887;16.0;Andressa Alves da Silva;22;167;55;Brazil;Left
226888;16.0;Andressa Cavalari Machry;20;161;60;Brazil;Right
226889;16.0;Mônica Hickmann Alves;28;182;72;Brazil;Right
226890;16.0;Marta Vieira da Silva;29;163;56;Brazil;Left
226891;16.0;Rosana dos Santos Augusto;32;169;57;Brazil;Left
226892;16.0;Luciana Maria Dionizio;27;171;70;Brazil;Right
226893;16.0;Débora Cristiane de Oliveira;23;157;54;Brazil;Right
226894;16.0;Raquel Fernandes dos Santos;23;162;56;Brazil;Right
226895;16.0;Miraildes Maciel Mota;37;162;56;Brazil;Right
226896;16.0;Poliana Barbosa Medeiros;24;173;58;Brazil;Right
226897;16.0;Beatriz Zaneratto João;21;174;69;Brazil;Right
226898;16.0;Tamires Cassia Dias de Britto;23;162;56;Brazil;Left
226908;16.0;???;26;175;60;China PR;Right
226910;16.0;???;26;162;53;China PR;Right
226911;16.0;???;23;168;56;China PR;Left
226912;16.0;??;24;173;56;China PR;Right
226913;16.0;??;26;172;55;China PR;Right
226914;16.0;??;24;185;68;China PR;Right
226915;16.0;??;22;172;60;China PR;Right
226917;16.0;???;25;168;50;China PR;Left
226922;16.0;???;22;166;56;China PR;Right
226923;16.0;??;25;165;51;China PR;Right
226925;16.0;???;23;158;50;China PR;Left
226926;16.0;??;25;179;66;China PR;Right
226927;16.0;???;25;170;58;China PR;Right
226929;16.0;???;24;160;55;China PR;Right
226930;16.0;???;24;164;54;China PR;Right
226931;16.0;???;23;162;52;China PR;Right
226939;16.0;??;23;168;59;China PR;Right
226940;16.0;??;26;173;55;China PR;Right
226959;16.0;???;20;167;59;China PR;Right
226960;16.0;???;20;166;52;China PR;Right
226967;16.0;Barbaro Charlotte Rohlin;34;174;61;Sweden;Right
226968;16.0;Åsa Nilla Maria Fischer;30;175;68;Sweden;Right
226969;16.0;Babett Peter;27;171;61;Germany;Left
226970;16.0;Sara Kristina Thunebro;36;165;60;Sweden;Left
226971;16.0;Tabea Kemme;23;170;56;Germany;Right
226973;16.0;Eva Sofia Jakobsson;25;174;63;Sweden;Right
226975;16.0;Sara Caroline Seger;30;173;62;Sweden;Right
226976;16.0;Jessica Marie Samuelsson Wik;23;166;62;Sweden;Right
226978;16.0;Rut Hedvig Lindahl;32;179;74;Sweden;Right
226979;16.0;Amanda Ilestedt;22;178;65;Sweden;Right
226980;16.0;Lisa Karolina Viktoria Dahlkvist;28;173;68;Sweden;Right
226983;16.0;Lina Therese Nilsson;28;170;63;Sweden;Right
226984;16.0;Jenny Hjohlman;25;168;61;Sweden;Right
226985;16.0;Olivia Alma Charlotta Schough;24;172;60;Sweden;Right
226986;16.0;Hanna Folkesson;26;165;58;Sweden;Right
226987;16.0;Kosovare Asllani;25;166;57;Sweden;Right
226988;16.0;Elin Ingrid Johanna Rubensson;22;166;60;Sweden;Right
226989;16.0;Carola Britt Therese Söberg;32;172;65;Sweden;Right
226991;16.0;Linda Birgitta Sembrant;28;175;67;Sweden;Right
226996;16.0;Emilia Appelqvist;25;168;56;Sweden;Right
227000;16.0;Emma Linnea Lundh;26;175;64;Sweden;Right
227008;16.0;Malin Sophie Diaz Pettersson;21;155;51;Sweden;Right
227011;16.0;Emma Sofia Berglund;26;172;64;Sweden;Right
227023;16.0;Hilda Maria Carlén;23;172;67;Sweden;Right
227058;16.0;Raffaella Manieri;28;174;60;Italy;Left
227061;16.0;Federica Di Criscio;22;168;50;Italy;Right
227062;16.0;Daniela Stracchi;31;160;50;Italy;Right
227063;16.0;Melania Gabbiadini;31;163;60;Italy;Right
227064;16.0;Ilaria Mauro;27;172;62;Italy;Right
