Restaurant ID;Restaurant Name;Country Code;City;Address;Locality;Cuisines;Has Table booking;Has Online delivery;Is delivering now;Aggregate rating;Rating color;Rating text;Votes
6317637;Le Petit Souffle;162;Makati City;Third Floor, Century City Mall, Kalayaan Avenue, Poblacion, Makati City;Century City Mall, Poblacion, Makati City;French, Japanese, Desserts;Yes;No;No;4.8;Dark Green;Excellent;314
6304287;Izakaya Kikufuji;162;Makati City;Little Tokyo, 2277 Chino Roces Avenue, Legaspi Village, Makati City;Little Tokyo, Legaspi Village, Makati City;Japanese;Yes;No;No;4.5;Dark Green;Excellent;591
6300002;Heat - Edsa Shangri-La;162;Mandaluyong City;Edsa Shangri-La, 1 Garden Way, Ortigas, Mandaluyong City;Edsa Shangri-La, Ortigas, Mandaluyong City;Seafood, Asian, Filipino, Indian;Yes;No;No;4.4;Green;Very Good;270
6318506;Ooma;162;Mandaluyong City;Third Floor, Mega Fashion Hall, SM Megamall, Ortigas, Mandaluyong City;SM Megamall, Ortigas, Mandaluyong City;Japanese, Sushi;No;No;No;4.9;Dark Green;Excellent;365
6314302;Sambo Kojin;162;Mandaluyong City;Third Floor, Mega Atrium, SM Megamall, Ortigas, Mandaluyong City;SM Megamall, Ortigas, Mandaluyong City;Japanese, Korean;Yes;No;No;4.8;Dark Green;Excellent;229
18189371;Din Tai Fung;162;Mandaluyong City;Ground Floor, Mega Fashion Hall, SM Megamall, Ortigas, Mandaluyong City;SM Megamall, Ortigas, Mandaluyong City;Chinese;No;No;No;4.4;Green;Very Good;336
6300781;Buffet 101;162;Pasay City;Building K, SM By The Bay, Sunset Boulevard, Mall of Asia Complex (MOA), Pasay City;SM by the Bay, Mall of Asia Complex, Pasay City;Asian, European;Yes;No;No;4;Green;Very Good;520
6301290;Vikings;162;Pasay City;Building B, By The Bay, Seaside Boulevard, Mall of Asia Complex (MOA), Pasay City;SM by the Bay, Mall of Asia Complex, Pasay City;Seafood, Filipino, Asian, European;Yes;No;No;4.2;Green;Very Good;677
6300010;Spiral - Sofitel Philippine Plaza Manila;162;Pasay City;Plaza Level, Sofitel Philippine Plaza Manila, CCP Complex, Pasay City;Sofitel Philippine Plaza Manila, Pasay City;European, Asian, Indian;Yes;No;No;4.9;Dark Green;Excellent;621
6314987;Locavore;162;Pasig City;Brixton Technology Center, 10 Brixton Street, Kapitolyo, Pasig City;Kapitolyo;Filipino;Yes;No;No;4.8;Dark Green;Excellent;532
6309903;Silantro Fil-Mex;162;Pasig City;75 East Capitol Drive, Kapitolyo, Pasig City;Kapitolyo;Filipino, Mexican;No;No;No;4.9;Dark Green;Excellent;1070
6309455;Mad Mark's Creamery & Good Eats;162;Pasig City;23 East Capitol Drive, Kapitolyo, Pasig City;Kapitolyo;American, Ice Cream, Desserts;Yes;No;No;4.2;Green;Very Good;488
6318433;Silantro Fil-Mex;162;Quezon City;Second Floor, UP Town Center, Katipunan Avenue, Diliman, Quezon City;UP Town Center, Diliman, Quezon City;Filipino, Mexican;No;No;No;4.8;Dark Green;Excellent;294
6310470;Guevarra's;162;San Juan City;387 P. Guevarra Corner Argonne Street, Addition Hills, San Juan City;Addition Hills;Filipino;Yes;No;No;4.2;Green;Very Good;458
6314605;Sodam Korean Restaurant;162;San Juan City;17 J. Abad Santos Drive, Little Baguio, San Juan City;Little Baguio;Korean;No;No;No;4.3;Green;Very Good;223
18185059;Cafe Arabelle;162;Santa Rosa;Ayala Mall, Solenad, Nuvali, Santa Rosa - Tagaytay Road, Don Jose, Santa Rosa;Nuvali, Don Jose, Santa Rosa;Cafe, American, Italian, Filipino;No;No;No;3.6;Yellow;Good;29
18182702;Nonna's Pasta & Pizzeria;162;Santa Rosa;Ground Floor, Building G, Solenad 3, Nuvali, Don Jose, Santa Rosa;Solenad 3, Don Jose, Santa Rosa;Italian, Pizza;No;No;No;4;Green;Very Good;72
6318213;Balay Dako;162;Tagaytay City;Aguinaldo Highway, Tagaytay City;Tagaytay City;Filipino;Yes;No;No;4.5;Dark Green;Excellent;211
18255654;Hobing Korean Dessert Cafe;162;Taguig City;Third Floor, BGC Stopover Pavillion, Rizal Drive Corner 31st Street, Bonifacio Global City, Taguig City;BGC Stopover Pavillion, Bonifacio Global City;Cafe, Korean, Desserts;No;No;No;4.5;Dark Green;Excellent;118
6308205;Wildflour Cafe + Bakery;162;Taguig City;Ground Floor, Netlima Building, 4th Avenue Corner 26th Street, Bonifacio Global City, Taguig City;Bonifacio Global City;Cafe, Bakery, American, Italian;Yes;No;No;4.4;Green;Very Good;392
6315438;NIU by Vikings;162;Taguig City;Sixth Floor, SM Aura Premier, C5 Road Corner 26th Street, Bonifacio Global City, Taguig City;SM Aura Premier, Bonifacio Global City, Taguig City;Seafood, American, Mediterranean, Japanese;Yes;No;No;4.7;Dark Green;Excellent;535
